location_id,city,state,country,postal_code,region,market
132,Amsterdam,North Holland,Netherlands,,Central,EU
133,Le Petit-Quevilly,Upper Normandy,France,,Central,EU
134,Bochum,North Rhine-Westphalia,Germany,,Central,EU
135,Hamburg,Hamburg,Germany,,Central,EU
136,Houston,Texas,United States,77036.0,Central,US
137,Mixco,Guatemala,Guatemala,,Central,LATAM
138,Yonkers,New York,United States,10701.0,East,US
139,Morelia,Michoacán,Mexico,,North,LATAM
140,Changchun,Jilin,China,,North Asia,APAC
141,Madrid,Madrid,Spain,,South,EU
142,Jeddah,Makkah,Saudi Arabia,,EMEA,EMEA
143,Norman,Oklahoma,United States,73071.0,Central,US
144,Medan,Sumatera Utara,Indonesia,,Southeast Asia,APAC
145,Jakarta,Jakarta,Indonesia,,Southeast Asia,APAC
146,Lancaster,Ohio,United States,43130.0,East,US
147,Surakarta,Jawa Tengah,Indonesia,,Southeast Asia,APAC
148,Beijing,Beijing,China,,North Asia,APAC
149,Tulancingo,Hidalgo,Mexico,,North,LATAM
150,Brest,Brest,Belarus,,EMEA,EMEA
151,Valencia,Valenciana,Spain,,South,EU
152,Charlotte,North Carolina,United States,28205.0,South,US
153,Zhytomyr,Zhytomyr,Ukraine,,EMEA,EMEA
154,Argenteuil,Ile-de-France,France,,Central,EU
155,Talence,Aquitaine,France,,Central,EU
156,Aurangabad,Bihar,India,,Central Asia,APAC
157,Plaisir,Ile-de-France,France,,Central,EU
158,Harrogate,England,United Kingdom,,North,EU
159,Phnom Penh,Phnom Penh,Cambodia,,Southeast Asia,APAC
160,Mackay,Queensland,Australia,,Oceania,APAC
161,North Las Vegas,Nevada,United States,89031.0,West,US
162,Jambi,Jambi,Indonesia,,Southeast Asia,APAC
163,Los Angeles,California,United States,90049.0,West,US
164,Moers,North Rhine-Westphalia,Germany,,Central,EU
165,Newark,Delaware,United States,19711.0,East,US
166,Shenzhen,Guangdong,China,,North Asia,APAC
167,Launceston,Tasmania,Australia,,Oceania,APAC
168,Marikina,National Capital,Philippines,,Southeast Asia,APAC
169,Johannesburg,Gauteng,South Africa,,Africa,Africa
170,Barakaldo,Basque Country,Spain,,South,EU
171,Providence,Rhode Island,United States,2908.0,East,US
172,Long Beach,New York,United States,11561.0,East,US
173,Qingdao,Shandong,China,,North Asia,APAC
174,San Francisco,California,United States,94122.0,West,US
175,Shiraz,Fars,Iran,,EMEA,EMEA
176,Bokaro,Jharkhand,India,,Central Asia,APAC
177,Fuji,Shizuoka,Japan,,North Asia,APAC
178,Benidorm,Valenciana,Spain,,South,EU
179,Kozhikode,Kerala,India,,Central Asia,APAC
180,Kuala Lumpur,Kuala Lumpur,Malaysia,,Southeast Asia,APAC
181,Astrakhan',Astrakhan',Russia,,EMEA,EMEA
182,Columbus,Ohio,United States,43229.0,East,US
183,Xiangtan,Hunan,China,,North Asia,APAC
184,Shaoxing,Zhejiang,China,,North Asia,APAC
185,Jabalpur,Madhya Pradesh,India,,Central Asia,APAC
186,Patna,Bihar,India,,Central Asia,APAC
187,La Baule-Escoublac,Pays de la Loire,France,,Central,EU
188,Dijon,Burgundy,France,,Central,EU
189,Los Angeles,California,United States,90032.0,West,US
190,Cape Town,Western Cape,South Africa,,Africa,Africa
191,Cairo,Al Qahirah,Egypt,,Africa,Africa
192,West Bromwich,England,United Kingdom,,North,EU
193,Detroit,Michigan,United States,48227.0,Central,US
194,Baku,Baki,Azerbaijan,,EMEA,EMEA
195,Burnley,England,United Kingdom,,North,EU
196,Laval,Pays de la Loire,France,,Central,EU
197,Vilnius,Vilnius,Lithuania,,EMEA,EMEA
198,Buenos Aires,Buenos Aires,Argentina,,South,LATAM
199,Girga,Suhaj,Egypt,,Africa,Africa
200,Kochi,Kerala,India,,Central Asia,APAC
201,Maseru,Maseru,Lesotho,,Africa,Africa
202,Wellington,Wellington,New Zealand,,Oceania,APAC
203,Luoyang,Henan,China,,North Asia,APAC
204,Feira de Santana,Bahia,Brazil,,South,LATAM
205,Matagalpa,Matagalpa,Nicaragua,,Central,LATAM
206,Virginia Beach,Virginia,United States,23464.0,South,US
207,Managua,Managua,Nicaragua,,Central,LATAM
208,Wuhai,Inner Mongolia,China,,North Asia,APAC
209,Nantes,Pays de la Loire,France,,Central,EU
210,Strasbourg,Alsace,France,,Central,EU
211,Surabaya,Jawa Timur,Indonesia,,Southeast Asia,APAC
212,Tupã,São Paulo,Brazil,,South,LATAM
213,Vienna,Vienna,Austria,,Central,EU
214,Mexico City,Distrito Federal,Mexico,,North,LATAM
215,Hobart,Tasmania,Australia,,Oceania,APAC
216,Hirakata,Osaka,Japan,,North Asia,APAC
217,Preston,England,United Kingdom,,North,EU
218,Agra,Uttar Pradesh,India,,Central Asia,APAC
219,Granollers,Catalonia,Spain,,South,EU
220,Ho Chi Minh City,Ho Chí Minh City,Vietnam,,Southeast Asia,APAC
221,Camagüey,Camagüey,Cuba,,Caribbean,LATAM
222,Morristown,New Jersey,United States,7960.0,East,US
223,Piatra-Neamt,Neamt,Romania,,EMEA,EMEA
224,Milpa Alta,Distrito Federal,Mexico,,North,LATAM
225,León,Guanajuato,Mexico,,North,LATAM
226,San Francisco,California,United States,94110.0,West,US
227,Izmir,Izmir,Turkey,,EMEA,EMEA
228,Coyoacán,Distrito Federal,Mexico,,North,LATAM
229,Manukau City,Auckland,New Zealand,,Oceania,APAC
230,Yaounde,Centre,Cameroon,,Africa,Africa
231,Newcastle upon Tyne,England,United Kingdom,,North,EU
232,Dehra Dun,Uttarakhand,India,,Central Asia,APAC
233,Santander,Cantabria,Spain,,South,EU
234,Cangzhou,Hebei,China,,North Asia,APAC
235,Shanghai,Shanghai,China,,North Asia,APAC
236,León,León,Nicaragua,,Central,LATAM
237,Rybinsk,Yaroslavl',Russia,,EMEA,EMEA
238,Ibiúna,São Paulo,Brazil,,South,LATAM
239,Canberra,Australian Capital Territory,Australia,,Oceania,APAC
240,Port Elizabeth,Eastern Cape,South Africa,,Africa,Africa
241,Newark,Ohio,United States,43055.0,East,US
242,Cambridge,England,United Kingdom,,North,EU
243,Kota,Chhattisgarh,India,,Central Asia,APAC
244,Christchurch,Canterbury,New Zealand,,Oceania,APAC
245,Vincennes,Ile-de-France,France,,Central,EU
246,Chongqing,Chongqing,China,,North Asia,APAC
247,Gyula,Bekes,Hungary,,EMEA,EMEA
248,Lucknow,Uttar Pradesh,India,,Central Asia,APAC
249,Florence,Kentucky,United States,41042.0,South,US
250,Turin,Piedmont,Italy,,South,EU
251,Springfield,Missouri,United States,65807.0,Central,US
252,Singapore,Singapore,Singapore,,Southeast Asia,APAC
253,Benguela,Benguela,Angola,,Africa,Africa
254,Lafayette,Indiana,United States,47905.0,Central,US
255,Himeji,Hyogo,Japan,,North Asia,APAC
256,Kendari,Sulawesi Tenggara,Indonesia,,Southeast Asia,APAC
257,Mejicanos,San Salvador,El Salvador,,Central,LATAM
258,Barcelona,Catalonia,Spain,,South,EU
259,Menton,Provence-Alpes-Côte d'Azur,France,,Central,EU
260,Huntsville,Alabama,United States,35810.0,South,US
261,Clermont-Ferrand,Auvergne,France,,Central,EU
262,Buzau,Buzau,Romania,,EMEA,EMEA
263,Bayeux,Paraíba,Brazil,,South,LATAM
264,Columbus,Georgia,United States,31907.0,South,US
265,San Antonio,Texas,United States,78207.0,Central,US
266,Darwin,Northern Territory,Australia,,Oceania,APAC
267,Jamestown,New York,United States,14701.0,East,US
268,Bayeux,Lower Normandy,France,,Central,EU
269,Lens,Nord-Pas-de-Calais,France,,Central,EU
270,Lannion,Brittany,France,,Central,EU
271,Iserlohn,North Rhine-Westphalia,Germany,,Central,EU
272,Kalemie,Katanga,Democratic Republic of the Congo,,Africa,Africa
273,Ghent,East Flanders,Belgium,,Central,EU
274,Indianapolis,Indiana,United States,46203.0,Central,US
275,Marseille,Provence-Alpes-Côte d'Azur,France,,Central,EU
276,Lahore,Punjab,Pakistan,,Central Asia,APAC
277,Grenoble,Rhône-Alpes,France,,Central,EU
278,Espoo,Uusimaa,Finland,,North,EU
279,Whyalla,South Australia,Australia,,Oceania,APAC
280,Ivry-sur-Seine,Ile-de-France,France,,Central,EU
281,Kanpur,Uttar Pradesh,India,,Central Asia,APAC
282,Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,France,,Central,EU
283,Cartagena,Bolívar,Colombia,,South,LATAM
284,Cancún,Quintana Roo,Mexico,,North,LATAM
285,Harbin,Heilongjiang,China,,North Asia,APAC
286,Kumasi,Ashanti,Ghana,,Africa,Africa
287,Salem,Tamil Nadu,India,,Central Asia,APAC
288,Angers,Pays de la Loire,France,,Central,EU
289,Khorramabad,Lorestan,Iran,,EMEA,EMEA
290,Chennai,Tamil Nadu,India,,Central Asia,APAC
291,Barletta,Apulia,Italy,,South,EU
292,Tamworth,England,United Kingdom,,North,EU
293,Kulti,West Bengal,India,,Central Asia,APAC
294,Le Mans,Pays de la Loire,France,,Central,EU
295,Mianyang,Sichuan,China,,North Asia,APAC
296,Cadereyta,Nuevo León,Mexico,,North,LATAM
297,Bundaberg,Queensland,Australia,,Oceania,APAC
298,Valparaíso de Goiás,Goiás,Brazil,,South,LATAM
299,Manado,Sulawesi Utara,Indonesia,,Southeast Asia,APAC
300,Muzaffarpur,Bihar,India,,Central Asia,APAC
301,Kermanshah,Kermanshah,Iran,,EMEA,EMEA
302,Thane,Maharashtra,India,,Central Asia,APAC
303,Piedecuesta,Santander,Colombia,,South,LATAM
304,Bangalore,Karnataka,India,,Central Asia,APAC
305,Xiamen,Fujian,China,,North Asia,APAC
306,Detroit,Michigan,United States,48234.0,Central,US
307,Kitwe,Copperbelt,Zambia,,Africa,Africa
308,Jieyang,Guangdong,China,,North Asia,APAC
309,Hamamatsu,Shizuoka,Japan,,North Asia,APAC
310,Ningbo,Zhejiang,China,,North Asia,APAC
311,Jodhpur,Rajasthan,India,,Central Asia,APAC
312,Weimar,Thuringia,Germany,,Central,EU
313,Auckland,Auckland,New Zealand,,Oceania,APAC
314,Lubumbashi,Katanga,Democratic Republic of the Congo,,Africa,Africa
315,Franklin,Wisconsin,United States,53132.0,Central,US
316,Omaha,Nebraska,United States,68104.0,Central,US
317,Nagpur,Maharashtra,India,,Central Asia,APAC
318,Villahermosa,Tabasco,Mexico,,North,LATAM
319,Oyonnax,Rhône-Alpes,France,,Central,EU
320,Metepec,México,Mexico,,North,LATAM
321,Santa Ana,California,United States,92704.0,West,US
322,Antony,Ile-de-France,France,,Central,EU
323,Culiacán,Sinaloa,Mexico,,North,LATAM
324,Mobile,Alabama,United States,36608.0,South,US
325,Al Amarah,Maysan,Iraq,,EMEA,EMEA
326,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA
327,Springfield,Virginia,United States,22153.0,South,US
328,Bhavnagar,Gujarat,India,,Central Asia,APAC
329,Rome,Lazio,Italy,,South,EU
330,Palma de Mallorca,Balearic Islands,Spain,,South,EU
331,Saint-Priest,Rhône-Alpes,France,,Central,EU
332,Gyor,Gyor,Hungary,,EMEA,EMEA
333,Monrovia,Montserrado,Liberia,,Africa,Africa
334,Santiago de Cuba,Santiago de Cuba,Cuba,,Caribbean,LATAM
335,Bogotá,Bogota,Colombia,,South,LATAM
336,Erlangen,Bavaria,Germany,,Central,EU
337,Tbilisi,Tbilisi,Georgia,,EMEA,EMEA
338,Jaipur,Rajasthan,India,,Central Asia,APAC
339,Suzhou,Gansu,China,,North Asia,APAC
340,Reggio nell'Emilia,Emilia-Romagna,Italy,,South,EU
341,Azcapotzalco,Distrito Federal,Mexico,,North,LATAM
342,Lublin,Lublin,Poland,,EMEA,EMEA
343,Zurich,Zürich,Switzerland,,Central,EU
344,Elbasan,Elbasan,Albania,,EMEA,EMEA
345,Voronezh,Voronezh,Russia,,EMEA,EMEA
346,Shimonoseki,Yamaguchi,Japan,,North Asia,APAC
347,Palu,Sulawesi Tengah,Indonesia,,Southeast Asia,APAC
348,Imphal,Manipur,India,,Central Asia,APAC
349,Shenyang,Liaoning,China,,North Asia,APAC
350,Bethlehem,Pennsylvania,United States,18018.0,East,US
351,Koumra,Mandoul,Chad,,Africa,Africa
352,Ballarat,Victoria,Australia,,Oceania,APAC
353,Podgorica,Podgorica,Montenegro,,EMEA,EMEA
354,Ribeirão Preto,São Paulo,Brazil,,South,LATAM
355,Zapopan,Jalisco,Mexico,,North,LATAM
356,Guelph,Ontario,Canada,,Canada,Canada
357,Bellingham,Washington,United States,98226.0,West,US
358,Bordeaux,Aquitaine,France,,Central,EU
359,Hamadan,Hamadan,Iran,,EMEA,EMEA
360,Windhoek,Khomas,Namibia,,Africa,Africa
361,Eindhoven,North Brabant,Netherlands,,Central,EU
362,Quetzaltenango,Quezaltenango,Guatemala,,Central,LATAM
363,Antiguo Cuscatlán,La Libertad,El Salvador,,Central,LATAM
364,Cranston,Rhode Island,United States,2920.0,East,US
365,Guantánamo,Guantánamo,Cuba,,Caribbean,LATAM
366,Bacolod City,Western Visayas,Philippines,,Southeast Asia,APAC
367,Kwinana,Western Australia,Australia,,Oceania,APAC
368,Deuil-la-Barre,Ile-de-France,France,,Central,EU
369,Lafayette,Louisiana,United States,70506.0,South,US
370,Lisbon,Lisboa,Portugal,,South,EU
371,Jhansi,Uttar Pradesh,India,,Central Asia,APAC
372,Amravati,Maharashtra,India,,Central Asia,APAC
373,Wafangdian,Liaoning,China,,North Asia,APAC
374,San Juan de la Maguana,San Juan,Dominican Republic,,Caribbean,LATAM
375,Chicago,Illinois,United States,60623.0,Central,US
376,Antananarivo,Analamanga,Madagascar,,Africa,Africa
377,Ufa,Bashkortostan,Russia,,EMEA,EMEA
378,Tehran,Tehran,Iran,,EMEA,EMEA
379,Bendigo,Victoria,Australia,,Oceania,APAC
380,Quetta,Baluchistan,Pakistan,,Central Asia,APAC
381,Rovigo,Veneto,Italy,,South,EU
382,Soacha,Cundinamarca,Colombia,,South,LATAM
383,Dudley,England,United Kingdom,,North,EU
384,Vienna,Vienna,Austria,,EMEA,EMEA
385,Ris-Orangis,Ile-de-France,France,,Central,EU
386,Levallois-Perret,Ile-de-France,France,,Central,EU
387,Luts'k,Volyn,Ukraine,,EMEA,EMEA
388,San Salvador,San Salvador,El Salvador,,Central,LATAM
389,Lorain,Ohio,United States,44052.0,East,US
390,Stoke-on-Trent,England,United Kingdom,,North,EU
391,São Paulo,São Paulo,Brazil,,South,LATAM
392,Huaibei,Anhui,China,,North Asia,APAC
393,Lehi,Utah,United States,84043.0,West,US
394,Masterton,Wellington,New Zealand,,Oceania,APAC
395,Seattle,Washington,United States,98103.0,West,US
396,Whangarei,Northland,New Zealand,,Oceania,APAC
397,Kunming,Yunnan,China,,North Asia,APAC
398,Columbia,Missouri,United States,65203.0,Central,US
399,Vancouver,British Columbia,Canada,,Canada,Canada
400,Pamplona,Navarra,Spain,,South,EU
401,Haninge,Stockholm,Sweden,,North,EU
402,Oviedo,Asturias,Spain,,South,EU
403,Carrollton,Texas,United States,75007.0,Central,US
404,Nasik,Maharashtra,India,,Central Asia,APAC
405,Torrevieja,Valenciana,Spain,,South,EU
406,Ube,Yamaguchi,Japan,,North Asia,APAC
407,New York City,New York,United States,10011.0,East,US
408,Pozzuoli,Campania,Italy,,South,EU
409,Poltava,Poltava,Ukraine,,EMEA,EMEA
410,Depok,Yogyakarta,Indonesia,,Southeast Asia,APAC
411,Regensburg,Bavaria,Germany,,Central,EU
412,Visakhapatnam,Andhra Pradesh,India,,Central Asia,APAC
413,Clamart,Ile-de-France,France,,Central,EU
414,Los Angeles,California,United States,90004.0,West,US
415,Garbsen,Lower Saxony,Germany,,Central,EU
416,Jixi,Heilongjiang,China,,North Asia,APAC
417,Potchefstroom,North-West,South Africa,,Africa,Africa
418,Vladimir,Vladimir,Russia,,EMEA,EMEA
419,Burgos,Castile and León,Spain,,South,EU
420,Kollam,Kerala,India,,Central Asia,APAC
421,Yangon,Yangon,Myanmar (Burma),,Southeast Asia,APAC
422,Bondy,Ile-de-France,France,,Central,EU
423,Mont-de-Marsan,Aquitaine,France,,Central,EU
424,Lyon,Rhône-Alpes,France,,Central,EU
425,Houston,Texas,United States,77095.0,Central,US
426,Depok,Jawa Barat,Indonesia,,Southeast Asia,APAC
427,Santo André,São Paulo,Brazil,,South,LATAM
428,Menden,North Rhine-Westphalia,Germany,,Central,EU
429,Spanish Town,Saint Catherine,Jamaica,,Caribbean,LATAM
430,Taupo,Waikato,New Zealand,,Oceania,APAC
431,Fengcheng,Liaoning,China,,North Asia,APAC
432,Vernon,Upper Normandy,France,,Central,EU
433,Tianjin,Tianjin,China,,North Asia,APAC
434,Chihuahua,Chihuahua,Mexico,,North,LATAM
435,Elx,Valenciana,Spain,,South,EU
436,Santa Cruz de Barahona,Barahona,Dominican Republic,,Caribbean,LATAM
437,Brasília,Federal District,Brazil,,South,LATAM
438,Lanzhou,Gansu,China,,North Asia,APAC
439,Bologna,Emilia-Romagna,Italy,,South,EU
440,Alice Springs,Northern Territory,Australia,,Oceania,APAC
441,Doha,Ad Dawhah,Qatar,,EMEA,EMEA
442,Velletri,Lazio,Italy,,South,EU
443,Matsubara,Oita,Japan,,North Asia,APAC
444,Gloucester,England,United Kingdom,,North,EU
445,Puteaux,Ile-de-France,France,,Central,EU
446,Geelong,Victoria,Australia,,Oceania,APAC
447,Whakatane,Bay of Plenty,New Zealand,,Oceania,APAC
448,Açu,Rio Grande do Norte,Brazil,,South,LATAM
449,Colchester,England,United Kingdom,,North,EU
450,Sandy Springs,Georgia,United States,30328.0,South,US
451,Montpellier,Languedoc-Roussillon,France,,Central,EU
452,Wetzlar,Hesse,Germany,,Central,EU
453,Cleveland,Ohio,United States,44105.0,East,US
454,Shashi,Hubei,China,,North Asia,APAC
455,Chaoyang,Jilin,China,,North Asia,APAC
456,Rugby,England,United Kingdom,,North,EU
457,Round Rock,Texas,United States,78664.0,Central,US
458,Saint-Chamond,Rhône-Alpes,France,,Central,EU
459,Fontenay-aux-Roses,Ile-de-France,France,,Central,EU
460,Baotou,Inner Mongolia,China,,North Asia,APAC
461,Fort Worth,Texas,United States,76106.0,Central,US
462,Joinville,Santa Catarina,Brazil,,South,LATAM
463,Colombo,Parana,Brazil,,South,LATAM
464,Dover,New Hampshire,United States,3820.0,East,US
465,Jining,Shandong,China,,North Asia,APAC
466,Zhenjiang,Jiangsu,China,,North Asia,APAC
467,York,England,United Kingdom,,North,EU
468,Jining,Inner Mongolia,China,,North Asia,APAC
469,Mérida,Yucatán,Mexico,,North,LATAM
470,Villa Nueva,Guatemala,Guatemala,,Central,LATAM
471,Annecy-le-Vieux,Rhône-Alpes,France,,Central,EU
472,Drancy,Ile-de-France,France,,Central,EU
473,Jacksonville,Florida,United States,32216.0,South,US
474,Dar es Salaam,Dar Es Salaam,Tanzania,,Africa,Africa
475,Nuremberg,Bavaria,Germany,,Central,EU
476,Concord,California,United States,94521.0,West,US
477,Macheng,Hubei,China,,North Asia,APAC
478,Beni Mellal,Tadla-Azilal,Morocco,,Africa,Africa
479,Roswell,Georgia,United States,30076.0,South,US
480,Madurai,Tamil Nadu,India,,Central Asia,APAC
481,Dortmund,North Rhine-Westphalia,Germany,,Central,EU
482,Loubomo,Niari,Republic of the Congo,,Africa,Africa
483,Jiangmen,Guangdong,China,,North Asia,APAC
484,Troy,Ohio,United States,45373.0,East,US
485,Kaliningrad,Kaliningrad,Russia,,EMEA,EMEA
486,Kristiansand,Vest-Agder,Norway,,North,EU
487,Ad Diwaniyah,Al Qadisiyah,Iraq,,EMEA,EMEA
488,Philadelphia,Pennsylvania,United States,19140.0,East,US
489,Bayonne,Aquitaine,France,,Central,EU
490,Avondale,Arizona,United States,85323.0,West,US
491,Fairfield,Ohio,United States,45014.0,East,US
492,San José de las Lajas,Mayabeque,Cuba,,Caribbean,LATAM
493,Algiers,Alger,Algeria,,Africa,Africa
494,Lowell,Massachusetts,United States,1852.0,East,US
495,Istanbul,Istanbul,Turkey,,EMEA,EMEA
496,Kaunas,Kaunas,Lithuania,,EMEA,EMEA
497,Ardabil,Ardabil,Iran,,EMEA,EMEA
498,Mexicali,Baja California,Mexico,,North,LATAM
499,Mecca,Makkah,Saudi Arabia,,EMEA,EMEA
500,Alexandria,Al Iskandariyah,Egypt,,Africa,Africa
501,Queanbeyan,New South Wales,Australia,,Oceania,APAC
502,Guilin,Guangxi,China,,North Asia,APAC
503,Gaomi,Shandong,China,,North Asia,APAC
504,Pretoria,Gauteng,South Africa,,Africa,Africa
505,Blackpool,England,United Kingdom,,North,EU
506,Schwerin,Mecklenburg-Vorpommern,Germany,,Central,EU
507,Aligarh,Uttar Pradesh,India,,Central Asia,APAC
508,Trento,Trentino-Alto Adige,Italy,,South,EU
