order_details_id,order_id,product_id,quantity,sales,discount,profit,shipping_cost
43,IN-2014-76016,FUR-BO-10004852,13,5667.87,0.0,2097.03,658.35
44,ES-2012-5877219,TEC-PH-10004583,9,5785.02,0.0,404.73,656.73
45,IT-2011-3183678,OFF-AP-10000486,7,3018.624,0.2,377.244,655.91
46,CA-2011-116904,OFF-BI-10001120,5,9449.95,0.0,4630.4755,655.61
47,IT-2013-3085011,FUR-CH-10003365,5,2092.5,0.1,720.75,652.98
48,IN-2014-50473,FUR-CH-10000602,6,2761.2,0.0,110.34,644.75
49,IN-2014-35983,TEC-MA-10002680,7,2174.13,0.0,500.01,637.86
50,MX-2014-126984,FUR-CH-10000891,11,3473.14,0.0,868.12,634.53
51,US-2012-163825,OFF-BI-10003527,3,3050.376,0.2,1143.891,632.05
52,IR-2014-8540,TEC-CAN-10003392,8,2108.64,0.0,527.04,630.97
53,US-2014-135013,TEC-CO-10001449,5,2399.96,0.2,839.986,630.05
54,IN-2011-10286,FUR-BO-10001372,5,2197.5,0.0,153.75,627.27
55,MZ-2013-3690,TEC-MOT-10002272,4,2582.16,0.0,593.88,627.17
56,IN-2012-66342,TEC-CO-10004997,4,1526.52,0.0,732.72,625.77
57,CA-2012-111829,TEC-CO-10001766,7,3149.93,0.0,1480.4671,617.92
58,IN-2012-48240,FUR-TA-10000226,2,1745.34,0.0,226.86,616.27
59,IN-2014-61792,OFF-AP-10002244,9,4191.507,0.1,1164.267,614.34
60,CA-2014-129021,TEC-PH-10001459,13,4367.896,0.2,327.5922,609.44
61,IN-2014-75470,FUR-BO-10001073,7,3063.27,0.0,581.91,609.24
62,CA-2012-114811,TEC-MA-10000045,4,4643.8,0.0,2229.024,607.34
63,ES-2014-4673578,TEC-PH-10002035,7,4473.0,0.0,313.11,604.4
64,IT-2013-3376681,TEC-PH-10002565,9,1502.01,0.0,225.18,600.21
65,IN-2014-66615,FUR-CH-10000027,11,5049.0,0.0,656.37,595.5
66,CA-2013-143805,OFF-AP-10002945,7,2104.55,0.0,694.5015,594.02
67,IT-2014-4540740,FUR-BO-10004999,5,2188.05,0.0,1050.15,593.91
68,IN-2014-11231,FUR-TA-10001205,4,1920.36,0.0,652.92,592.77
69,MX-2014-154907,TEC-PH-10004196,4,1704.0,0.0,119.28,592.73
70,UP-2011-8610,FUR-CHR-10001018,4,1858.68,0.0,130.08,590.56
71,IN-2013-40050,FUR-CH-10003232,7,3298.26,0.0,1055.25,589.36
72,MX-2011-110275,OFF-AP-10001630,13,2443.48,0.0,121.94,589.29
73,CG-2013-6110,FUR-HAR-10002873,8,3808.8,0.0,1523.52,588.13
74,IN-2014-30110,FUR-TA-10000687,7,3427.1496,0.47,-452.8104,586.57
75,ES-2012-2058076,TEC-PH-10004505,6,3441.69,0.1,38.07,585.25
76,IN-2014-51950,TEC-PH-10002683,5,2863.35,0.1,858.9,581.88
77,CA-2012-145352,OFF-BI-10003527,5,6354.95,0.0,3177.475,581.12
78,ES-2013-4670866,TEC-CO-10002269,10,1487.4,0.0,728.7,580.98
79,IN-2011-62506,TEC-CO-10002526,9,3200.04,0.0,1183.95,576.71
80,IN-2011-46413,FUR-CH-10000602,5,2301.0,0.0,91.95,573.27
81,ES-2014-3785216,FUR-CH-10002891,14,5729.346,0.1,63.546,572.95
82,MO-2014-2000,TEC-CAN-10001437,14,5301.24,0.0,2597.28,568.45
83,CA-2014-138289,OFF-BI-10004995,4,5443.96,0.0,2504.2216,567.95
84,CA-2014-118892,FUR-CH-10002024,9,4416.174,0.3,-630.882,566.65
85,ES-2013-1434123,TEC-PH-10004327,5,3219.9,0.0,965.85,564.25
86,ID-2012-78207,OFF-AP-10001621,6,2487.8088,0.17,-269.7912,562.14
87,MO-2013-8630,OFF-HOO-10001881,4,2266.44,0.0,113.28,556.45
88,IN-2012-64774,TEC-CO-10001954,9,3068.361,0.1,1124.901,555.77
89,IN-2013-48765,FUR-BO-10003282,9,3728.43,0.0,1192.86,553.31
90,IN-2013-69730,TEC-CO-10003102,6,1581.48,0.0,0.0,550.74
91,IN-2012-48240,TEC-PH-10004664,3,1916.73,0.0,498.33,548.4
92,US-2013-102239,FUR-TA-10003392,6,1685.88,0.0,320.3172,548.08
93,ES-2013-3467296,OFF-AP-10002552,5,2432.16,0.1,513.36,546.9
94,CA-2014-6550,TEC-MOT-10000554,6,3863.88,0.0,1159.02,546.56
95,ID-2013-25742,FUR-CH-10001415,7,2465.82,0.25,197.19,546.49
96,IN-2012-86698,FUR-TA-10003627,2,1847.52,0.0,738.96,545.89
97,ES-2013-2903666,FUR-BO-10001133,7,2899.89,0.0,927.78,541.59
98,IN-2012-30446,FUR-CH-10000027,7,2891.7,0.1,96.39,541.57
99,IT-2012-1779015,TEC-MA-10003515,9,2016.846,0.15,-0.054,540.77
100,ES-2013-3903130,OFF-AP-10002904,7,3155.544,0.1,34.944,539.94
101,CG-2013-3470,TEC-MOT-10003348,6,3856.14,0.0,1465.2,533.99
102,IN-2014-13639,TEC-PH-10001990,6,3524.472,0.1,861.372,531.28
103,ES-2012-2510515,TEC-PH-10002898,4,2167.296,0.15,790.416,531.09
104,MX-2012-153157,TEC-PH-10004196,6,2556.0,0.0,178.92,530.49
105,ES-2011-2585328,TEC-CO-10001633,5,1469.25,0.0,308.4,527.87
106,ES-2011-4500805,TEC-PH-10002623,8,4448.832,0.15,1517.712,527.85
107,CA-2014-107174,FUR-TA-10004575,7,2036.86,0.0,366.6348,524.76
108,MX-2013-113824,FUR-BO-10001498,9,2472.66,0.0,914.76,523.47
109,IN-2013-45076,OFF-AP-10003598,8,3739.176,0.1,747.816,522.79
110,IT-2013-5208514,FUR-CH-10001582,11,2570.865,0.5,-2211.165,520.89
111,US-2013-107440,TEC-MA-10001047,7,9099.93,0.0,2365.9818,516.91
112,ES-2012-2314672,TEC-PH-10000505,9,2875.77,0.5,-1783.08,516.63
113,ES-2012-4765389,FUR-BO-10002003,4,1741.8,0.0,261.24,515.24
114,IN-2013-15368,TEC-CO-10001775,5,1601.64,0.1,587.19,511.47
115,IN-2011-18385,OFF-AP-10000647,7,3670.8,0.0,367.08,510.72
116,CA-2012-149846,TEC-MA-10004002,7,2973.32,0.2,334.4985,510.18
117,ES-2013-2757712,TEC-CO-10001926,5,1900.95,0.0,589.2,506.89
118,CA-2011-106726,OFF-ST-10001496,7,1261.33,0.0,327.9458,506.49
119,IT-2011-1978668,FUR-CH-10002203,11,4544.1,0.1,1868.13,506.27
120,IN-2013-63773,FUR-BO-10001934,4,1455.12,0.0,116.4,504.56
121,IN-2013-10965,TEC-CO-10000562,6,1943.19,0.1,258.93,499.62
122,CA-2011-145541,TEC-MA-10001127,4,6999.96,0.0,2239.9872,499.55
123,CA-2013-117121,OFF-BI-10000545,13,9892.74,0.0,4946.37,498.7
124,ID-2013-79432,TEC-CO-10002035,5,1695.87,0.1,-37.83,498.62
125,IT-2014-4499061,TEC-CO-10004099,6,1505.979,0.15,-265.761,498.52
126,IN-2014-34226,TEC-PH-10003002,3,1954.17,0.0,312.66,498.38
127,CA-2011-136567,FUR-TA-10001932,7,2244.48,0.0,493.7856,498.14
128,CA-2013-143714,TEC-CO-10004722,4,8399.976,0.4,1119.9968,498.08
129,CA-2011-151330,FUR-CH-10000749,9,1628.82,0.0,260.6112,496.46
130,MX-2014-158386,TEC-CO-10004398,7,1213.18876,0.002,508.00876,493.41
131,IN-2013-30663,TEC-CO-10004535,5,1590.6,0.0,572.55,493.2
132,IN-2013-77444,TEC-AC-10000420,9,2330.64,0.0,1025.46,492.79
133,IN-2014-39077,FUR-BO-10001212,8,3278.5848,0.07,140.8248,492.28
134,ID-2012-60980,TEC-PH-10001670,7,3741.5238,0.17,946.6338,491.91
135,CA-2013-128594,FUR-CH-10001215,4,1603.136,0.2,100.196,489.6
136,IN-2012-57025,FUR-BO-10004679,10,3637.602,0.07,156.402,487.86
137,MX-2013-157868,OFF-AP-10001776,7,2455.88,0.0,785.82,487.48
138,ID-2012-66111,TEC-MA-10003704,8,1024.68,0.5,-286.92,487.32
139,CA-2011-120474,FUR-CH-10001854,8,2807.84,0.0,673.8816,487.15
140,CA-2013-100300,TEC-MA-10000984,4,4476.8,0.2,503.64,485.47
141,MX-2012-164791,TEC-AC-10000376,14,2297.96,0.0,988.12,483.26
142,IT-2013-1350483,TEC-CO-10003800,7,2671.41,0.0,534.24,483.04
143,SO-2014-4990,TEC-SAM-10004230,6,3834.0,0.0,268.38,481.04
144,CA-2014-149559,FUR-CH-10002320,8,2054.272,0.2,256.784,480.56
145,IN-2012-30943,OFF-AP-10002312,8,3501.7368,0.17,210.8568,479.96
146,IN-2014-13324,TEC-PH-10000169,3,1725.462,0.1,747.612,479.94
147,IN-2012-46889,TEC-CO-10000865,5,1583.7,0.0,174.15,479.67
148,CA-2012-114069,FUR-CH-10000595,9,1931.04,0.1,321.84,477.15
149,ID-2013-35640,FUR-BO-10000288,7,2760.345,0.1,-214.725,475.34
150,IN-2011-30292,TEC-AC-10000866,12,3078.72,0.0,523.08,474.44
151,IT-2011-3675195,OFF-AP-10001623,7,1983.135,0.5,-1784.895,473.27
152,ES-2014-2034971,FUR-BO-10003541,3,1112.778,0.1,296.658,472.0
153,ES-2011-1426891,TEC-CO-10004365,10,3616.5,0.0,36.0,471.92
154,CA-2014-159366,TEC-MA-10000822,2,3059.982,0.1,679.996,471.22
155,IN-2013-14773,TEC-PH-10000499,5,2892.105,0.1,160.605,470.29
156,ES-2012-4934238,TEC-PH-10000800,5,3263.4,0.0,848.4,469.29
157,CA-2013-108987,FUR-BO-10004834,4,2396.2656,0.32,-317.1528,469.16
158,MX-2014-111941,FUR-TA-10001642,13,3117.088,0.2,38.948,466.7
159,US-2013-143819,TEC-MA-10003979,7,4899.93,0.0,2400.9657,466.33
160,MX-2014-152961,OFF-AP-10001041,5,1888.7,0.0,887.6,465.92
161,IN-2013-17041,OFF-AP-10002090,6,3000.78,0.0,1080.18,465.63
162,ES-2013-4679331,OFF-AP-10002330,7,3801.63,0.0,1444.59,465.02
163,SA-2014-1270,TEC-CIS-10002344,8,5211.12,0.0,1146.24,463.98
164,IN-2011-10286,FUR-TA-10002153,3,1356.03,0.0,311.85,458.97
165,IN-2014-12897,OFF-AP-10004964,7,3569.643,0.1,674.163,458.54
166,CA-2013-134887,TEC-AC-10003832,5,1287.45,0.0,244.6155,457.14
167,ID-2014-10076,FUR-BO-10004679,8,2910.0816,0.07,125.1216,456.32
168,ID-2013-70122,FUR-CH-10002061,9,3126.4002,0.27,-128.7198,455.71
169,ES-2011-2257437,TEC-PH-10002759,9,5276.988,0.1,1758.888,454.81
170,ID-2014-63920,TEC-PH-10001699,5,2645.376,0.17,-0.024,452.6
171,ID-2013-29564,FUR-BO-10001934,5,1637.01,0.1,-36.39,452.28
172,CA-2013-108196,TEC-MA-10000418,5,4499.985,0.7,-6599.978,451.63
173,ID-2012-36403,TEC-PH-10001699,5,2645.376,0.17,-0.024,451.03
174,CA-2014-127180,TEC-PH-10001494,8,2399.6,0.0,647.892,449.45
175,IN-2011-19351,FUR-TA-10001889,5,3238.305,0.3,-740.295,449.18
176,ES-2014-5842530,FUR-BO-10000490,7,2291.814,0.1,127.134,448.91
177,MX-2011-137897,TEC-PH-10000018,5,2124.5,0.0,488.6,447.66
178,BO-2014-8960,FUR-HON-10003533,6,2757.78,0.0,744.48,446.33
179,ES-2013-2220066,TEC-AC-10001949,6,1549.98,0.0,139.32,443.92
180,CA-2011-127299,TEC-MA-10001127,3,2624.985,0.5,-944.9946,443.69
181,UP-2014-4500,OFF-HOO-10004910,6,3146.4,0.0,629.28,443.55
182,ES-2014-2440513,TEC-MA-10001335,11,2456.619,0.15,664.719,442.49
183,IT-2011-5629016,FUR-TA-10000347,7,2228.6355,0.35,-754.4145,440.25
184,CA-2014-133263,TEC-CO-10001449,5,2999.95,0.0,1439.976,439.69
185,IN-2014-65488,OFF-AP-10002090,8,4001.04,0.0,1440.24,439.65
186,ES-2014-5530354,TEC-PH-10000493,9,4876.875,0.15,745.875,439.41
187,IN-2012-23782,FUR-TA-10003596,6,1788.822,0.3,204.282,439.03
188,IN-2014-37320,OFF-AP-10002244,7,3622.29,0.0,1267.77,438.89
189,ID-2013-31720,FUR-TA-10003179,5,1242.585,0.47,-140.715,437.85
190,ES-2011-1712442,TEC-PH-10001396,7,4453.05,0.0,1424.85,433.41
191,IN-2014-78900,FUR-TA-10003078,8,2673.36,0.0,1069.2,432.57
192,IN-2013-37803,FUR-CH-10003581,5,2046.195,0.1,591.045,432.15
193,ES-2013-3939561,FUR-TA-10000184,6,5451.3,0.0,2071.44,432.13
194,CA-2013-138478,OFF-BI-10001120,3,4535.976,0.2,1644.2913,431.68
195,IN-2014-56808,OFF-AP-10001956,4,1722.2832,0.17,539.4432,430.04
196,US-2013-116729,TEC-PH-10002200,7,2575.944,0.2,257.5944,429.66
197,ES-2014-1972860,OFF-AP-10003382,2,1007.424,0.1,134.304,428.83
198,CA-2011-119375,OFF-ST-10002011,7,2934.33,0.0,792.2691,428.8
199,IN-2011-64326,OFF-AP-10003917,9,4624.29,0.1,1644.03,427.46
200,ES-2011-3259196,OFF-ST-10002900,6,1066.446,0.1,-11.934,427.24
201,IN-2013-48184,TEC-CO-10003819,4,957.6,0.0,0.0,427.1
202,IN-2014-77017,OFF-AP-10000675,10,4864.32,0.1,162.12,426.09
203,CA-2014-150091,FUR-BO-10003404,5,2154.9,0.0,129.294,426.05
204,ID-2014-31363,OFF-AP-10001824,3,1433.8395,0.15,-84.3705,424.81
205,SF-2011-6380,OFF-SME-10000746,14,2784.6,0.0,779.52,422.25
206,ES-2013-1692384,FUR-BO-10004999,7,3063.27,0.0,1470.21,419.38
207,CA-2014-165323,TEC-MA-10003673,5,3404.5,0.0,1668.205,419.06
208,CA-2013-168354,OFF-ST-10001490,9,1606.23,0.0,481.869,418.26
209,US-2011-158554,TEC-PH-10004196,6,2044.8,0.2,-332.28,417.99
210,CA-2011-141796,TEC-PH-10001578,3,1214.85,0.0,352.3065,417.47
211,IN-2012-12162,TEC-CO-10000208,4,1521.0,0.0,0.0,416.74
212,ES-2012-2510515,OFF-AP-10002330,5,2443.905,0.1,760.305,416.33
213,CA-2012-113404,FUR-CH-10003312,6,1348.704,0.2,-219.1644,415.69
214,IR-2013-8520,TEC-EPS-10000053,10,1141.8,0.0,570.9,415.01
215,IN-2014-68463,OFF-ST-10004060,9,1865.97,0.0,802.17,413.95
216,ID-2011-64599,TEC-PH-10000303,11,6998.64,0.0,2939.31,413.8
217,ES-2013-4632541,FUR-BO-10002708,3,1091.25,0.0,119.97,411.64
218,IN-2014-23761,FUR-BO-10000210,3,1094.22,0.0,328.23,411.06
219,IN-2013-16964,FUR-BO-10001192,4,1320.624,0.1,484.224,410.88
220,IN-2011-76989,TEC-PH-10004664,4,2555.64,0.0,664.44,410.22
221,RS-2014-4620,FUR-SAU-10002255,8,3498.72,0.0,594.72,410.05
222,CA-2013-147417,TEC-CO-10001449,4,1439.976,0.4,191.9968,408.79
223,IN-2014-61393,TEC-CO-10001954,6,2272.86,0.0,977.22,406.53
224,IN-2013-13891,TEC-PH-10003002,8,5211.12,0.0,833.76,404.97
225,IN-2014-32770,TEC-PH-10003856,4,2582.16,0.0,361.44,404.08
226,IN-2014-14780,TEC-PH-10004664,5,3194.55,0.0,830.55,403.97
227,IN-2013-71585,FUR-CH-10000974,4,1704.996,0.1,378.876,403.46
228,IN-2014-20485,OFF-AP-10003866,6,1538.721,0.15,325.701,403.26
229,IN-2013-48184,FUR-CH-10003616,3,1381.32,0.0,593.91,403.15
230,IT-2011-4771701,FUR-BO-10004999,3,1181.547,0.1,498.807,401.25
231,IT-2011-2876489,FUR-CH-10000479,4,1696.248,0.1,734.928,401.13
232,CA-2014-133865,TEC-CO-10001046,6,3359.952,0.2,1049.985,400.6
233,CA-2014-158379,OFF-SU-10002881,7,4663.736,0.2,-1049.3406,400.04
234,SF-2014-2330,OFF-HOO-10000318,4,1237.56,0.0,606.36,400.03
235,EG-2012-4640,TEC-NOK-10001283,2,1274.7,0.0,140.16,399.96
236,MX-2011-138002,OFF-AP-10000407,9,3172.14,0.0,856.44,399.85
237,US-2014-102183,OFF-BI-10001359,6,4305.552,0.2,1453.1238,398.64
238,ES-2012-5113958,OFF-AP-10004512,7,3979.29,0.0,1989.54,398.5
239,CA-2014-120376,FUR-CH-10002335,7,1586.69,0.0,412.5394,397.52
240,CA-2014-168109,TEC-MA-10001148,6,2395.2,0.2,209.58,396.92
241,CA-2014-111556,TEC-PH-10001459,3,1259.97,0.0,327.5922,394.57
242,AJ-2013-2640,FUR-BAR-10004434,4,2058.0,0.0,946.68,393.62
243,IN-2011-67651,FUR-BO-10002444,7,2539.8765,0.07,709.9365,393.58
244,ES-2014-4957212,FUR-BO-10004709,7,2898.21,0.0,1420.02,393.46
245,IT-2011-3528798,TEC-MA-10004772,5,1320.0075,0.15,357.1575,390.2
246,LH-2014-5390,FUR-BAR-10003532,8,2171.16,0.7,-2750.28,390.09
247,IN-2014-32588,TEC-CO-10002911,13,4448.223,0.1,444.483,386.38
248,CA-2012-137113,FUR-TA-10001705,9,1913.4,0.0,401.814,386.21
249,US-2011-161760,TEC-PH-10000169,9,2300.616,0.4,38.196,386.0
250,EG-2013-4530,FUR-SAU-10004653,6,2615.94,0.0,1072.44,384.41
251,IN-2011-51964,TEC-CO-10002526,3,1066.68,0.0,394.65,383.68
252,CA-2013-122903,FUR-CH-10002024,5,3504.9,0.0,700.98,383.35
253,LT-2011-270,TEC-NOK-10004339,4,2544.6,0.0,814.2,383.01
254,IN-2011-86278,FUR-TA-10000022,4,3694.68,0.0,886.68,382.77
255,ID-2013-17055,FUR-TA-10002153,7,2214.849,0.3,-221.571,382.1
256,MX-2013-151764,FUR-CH-10000843,4,1236.48,0.0,111.28,381.22
257,MX-2014-124744,OFF-AP-10002681,5,1805.9,0.0,126.4,381.14
258,US-2011-106992,TEC-MA-10000822,3,3059.982,0.4,-509.997,380.77
259,CA-2014-168109,TEC-AC-10002049,4,1687.8,0.0,742.632,379.56
260,CA-2011-117639,OFF-BI-10003925,7,2715.93,0.0,1276.4871,378.83
261,MX-2014-140305,OFF-AP-10004627,5,1810.3,0.0,54.3,378.26
262,MX-2014-113845,TEC-PH-10001076,5,2120.5,0.0,106.0,377.7
263,IN-2014-61932,TEC-PH-10001457,2,1275.0,0.0,140.22,377.58
264,ES-2012-4589770,TEC-MA-10004534,7,1593.648,0.15,-225.162,377.03
265,ES-2014-1331794,FUR-BO-10003991,3,1114.236,0.1,383.706,376.88
266,ES-2012-4621754,TEC-PH-10002623,5,2944.08,0.1,1112.13,376.58
267,ID-2014-41191,OFF-AP-10002793,7,3309.2598,0.17,318.8598,374.8
268,MX-2014-128405,FUR-CH-10002093,9,897.48,0.0,322.92,374.38
269,ES-2011-1858721,FUR-BO-10003103,5,2056.05,0.0,390.6,372.5
270,MX-2012-168865,TEC-CO-10001818,10,2365.6592,0.002,18.8592,372.32
271,IN-2011-52279,TEC-CO-10002040,7,1336.356,0.4,44.436,371.74
272,IN-2012-14724,TEC-CO-10001654,8,3038.64,0.0,1245.84,371.51
273,ES-2013-3042991,OFF-AP-10002397,9,2698.65,0.0,890.46,369.98
274,LT-2013-3900,TEC-CAN-10001853,12,3799.08,0.0,455.76,369.73
275,IN-2012-18518,FUR-CH-10001207,6,2756.34,0.0,413.28,369.4
276,IT-2012-4058325,TEC-PH-10002597,8,983.88,0.1,-11.16,369.17
277,IN-2012-42220,FUR-CH-10003232,5,1719.807,0.27,117.657,368.44
278,IN-2014-17972,OFF-AP-10003917,3,1421.541,0.17,428.121,367.57
279,MX-2014-151554,TEC-CO-10002617,5,1053.6884,0.002,441.2884,367.55
280,IT-2011-3270900,TEC-CO-10000556,8,1440.84,0.5,-1268.04,367.35
281,IN-2011-28087,FUR-CH-10003232,6,2544.372,0.1,621.792,366.89
282,CA-2012-123113,OFF-AP-10000275,8,2625.12,0.0,735.0336,366.72
283,RO-2012-9480,TEC-HEW-10003460,8,1554.48,0.0,341.76,366.58
284,MX-2013-109981,TEC-PH-10004196,3,1278.0,0.0,89.46,365.9
285,MX-2012-130351,TEC-PH-10002672,8,3474.08,0.0,625.28,365.65
286,MX-2012-135076,TEC-PH-10000106,6,2550.0,0.0,357.0,365.2
287,CA-2013-114972,OFF-AP-10003057,4,1101.48,0.0,429.5772,364.76
288,CA-2013-146633,OFF-BI-10003527,1,1016.792,0.2,381.297,363.87
289,CA-2013-110499,TEC-CO-10002095,3,1199.976,0.2,374.9925,363.78
290,TU-2012-2690,TEC-SAM-10000345,14,934.248,0.6,-1331.652,363.73
291,CA-2014-166709,TEC-CO-10004722,3,10499.97,0.0,5039.9856,363.19
292,SG-2014-9460,TEC-CIS-10002259,6,3908.88,0.0,1563.48,363.16
293,MX-2014-164217,TEC-PH-10004182,5,2142.3,0.0,556.9,363.1
294,ID-2014-80657,OFF-AP-10004350,6,1900.584,0.4,-348.516,360.04
295,CM-2012-6440,OFF-HOO-10000335,6,1840.68,0.0,496.98,359.58
296,ES-2011-5287434,FUR-BO-10004129,6,2624.04,0.0,446.04,359.28
297,IN-2012-79439,FUR-BO-10001372,7,3076.5,0.0,215.25,359.27
298,IN-2013-58929,TEC-PH-10004664,6,3181.7718,0.17,344.9718,359.09
299,IT-2012-2646674,OFF-ST-10004597,11,1392.633,0.1,-139.557,358.96
300,IN-2011-63577,FUR-CH-10001664,8,1296.24,0.0,285.12,358.85
301,IN-2014-16068,OFF-AP-10003240,3,1682.91,0.0,487.98,358.51
302,MX-2011-150973,TEC-PH-10004196,3,1278.0,0.0,89.46,358.18
303,RS-2014-4120,TEC-MOT-10003348,4,2570.76,0.0,976.8,357.89
304,MX-2014-154935,FUR-TA-10000136,5,2332.96,0.2,349.86,357.79
305,ID-2012-83604,FUR-BO-10002866,6,1582.2,0.4,-870.3,357.21
306,US-2014-117723,OFF-ST-10004459,6,1801.632,0.2,-337.806,356.88
307,IN-2013-81112,FUR-TA-10001276,6,1512.0,0.0,498.96,356.84
308,CA-2013-147368,TEC-MA-10002178,2,695.7,0.5,-27.828,356.68
309,SF-2014-3560,TEC-APP-10002966,4,2550.0,0.0,714.0,355.92
310,CA-2012-147830,TEC-AC-10002049,6,2025.36,0.2,607.608,355.61
311,ES-2012-1439357,FUR-CH-10000685,5,2285.7,0.0,845.7,355.06
312,IN-2014-16054,FUR-BO-10001541,9,1029.2589,0.07,10.8189,354.47
313,US-2014-148817,TEC-CO-10003931,5,1058.2792,0.002,-2.1208,354.42
314,IN-2013-50809,TEC-PH-10000169,9,5751.54,0.0,2817.99,353.85
315,ES-2013-1211534,FUR-BO-10001553,7,2442.069,0.1,-244.251,353.57
316,IN-2014-81154,OFF-ST-10004748,6,1190.52,0.0,178.56,353.42
317,IT-2014-2009199,OFF-AP-10000540,7,3150.819,0.1,-35.091,353.04
318,ES-2014-1972860,TEC-CO-10004567,5,1599.9,0.0,719.85,352.79
319,IN-2014-51432,FUR-BO-10001749,5,2063.4,0.0,123.75,352.64
320,HU-2014-7310,OFF-ROG-10003898,6,1269.9,0.0,558.72,352.52
321,IN-2011-26176,FUR-BO-10001934,9,3274.02,0.0,261.9,351.08
322,MX-2014-113845,TEC-PH-10002815,2,848.32,0.0,110.28,351.07
323,CA-2012-102491,TEC-MA-10000864,7,3080.0,0.0,1416.8,351.01
324,ES-2014-5345830,TEC-CO-10002663,8,2847.36,0.0,711.84,350.68
325,ID-2014-58271,FUR-CH-10000602,5,1725.75,0.25,-483.3,350.68
326,ID-2013-57949,TEC-CO-10001419,6,1479.3138,0.07,-63.6462,350.31
327,US-2012-128587,TEC-CO-10003763,7,4899.93,0.0,2302.9671,350.09
328,IN-2014-68750,TEC-CO-10000679,9,1282.23,0.0,12.69,349.88
329,AO-2011-1670,FUR-IKE-10001539,6,2478.6,0.0,49.5,349.87
330,CA-2013-118689,TEC-CO-10004722,5,17499.95,0.0,8399.976,349.07
331,IN-2013-42535,TEC-CO-10002376,3,959.76,0.0,460.62,348.48
332,CA-2012-124891,FUR-TA-10002903,7,1090.782,0.4,-290.8752,348.18
