order_id,order_date,ship_date,ship_mode,order_priority,customer_id
CA-2012-139731,2022-10-15,2022-10-15,Same Day,High,JE-15745
IN-2011-28087,2021-11-03,2021-11-05,Second Class,Critical,DP-13105
CA-2011-168494,2021-12-12,2021-12-14,Second Class,High,NP-18700
CG-2011-8610,2021-09-14,2021-09-15,First Class,High,AH-30
CA-2011-160766,2021-09-14,2021-09-14,Same Day,High,DM-13015
US-2014-168116,2024-11-05,2024-11-05,Same Day,High,GT-14635
ES-2014-2637201,2024-01-14,2024-01-18,Standard Class,High,PO-18865
IN-2011-61302,2021-01-10,2021-01-11,First Class,Medium,DL-12865
ID-2013-63976,2023-08-22,2023-08-26,Standard Class,High,JB-16000
IN-2014-37320,2024-11-11,2024-11-15,Standard Class,High,BF-11005
IN-2014-76016,2024-09-26,2024-09-28,Second Class,Medium,VG-21805
ES-2012-5877219,2022-12-13,2022-12-17,Standard Class,High,GT-14710
IT-2011-3183678,2021-09-23,2021-09-25,First Class,Critical,ZC-21910
CA-2011-116904,2021-09-23,2021-09-28,Standard Class,Medium,SC-20095
IT-2013-3085011,2023-03-08,2023-03-08,Same Day,Critical,EB-13840
IN-2014-50473,2024-08-28,2024-08-29,First Class,High,AP-10915
IN-2014-35983,2024-05-01,2024-05-01,Same Day,Critical,SW-20275
MX-2014-126984,2024-12-18,2024-12-20,Second Class,High,JH-15820
US-2012-163825,2022-06-16,2022-06-19,First Class,High,LC-16885
IR-2014-8540,2024-09-18,2024-09-21,First Class,Critical,TG-11640
US-2014-135013,2024-07-25,2024-07-25,Same Day,High,HR-14830
MZ-2013-3690,2023-12-18,2023-12-18,Same Day,High,DG-3300
IN-2012-66342,2022-05-30,2022-05-31,First Class,Critical,SG-20470
CA-2012-111829,2022-03-19,2022-03-20,First Class,High,FH-14365
IN-2012-48240,2022-05-25,2022-05-28,Second Class,Critical,GP-14740
IN-2014-61792,2024-08-05,2024-08-06,First Class,High,MW-18220
CA-2014-129021,2024-08-24,2024-08-27,Second Class,Medium,PO-18850
IN-2014-75470,2024-03-11,2024-03-13,Second Class,High,CS-12460
CA-2012-114811,2022-11-08,2022-11-08,Same Day,Medium,KD-16495
ES-2014-4673578,2024-08-11,2024-08-16,Second Class,Medium,MS-17980
IT-2013-3376681,2023-08-31,2023-09-03,First Class,Critical,KC-16675
IN-2014-66615,2024-01-18,2024-01-23,Standard Class,High,DB-13405
CA-2013-143805,2023-12-02,2023-12-04,Second Class,Critical,JD-15895
IT-2014-4540740,2024-12-07,2024-12-08,First Class,High,DK-13090
IN-2014-11231,2024-12-16,2024-12-19,First Class,Critical,CS-11845
MX-2014-154907,2024-11-20,2024-11-20,Same Day,Critical,EM-14200
UP-2011-8610,2021-11-09,2021-11-11,First Class,Critical,DW-3480
IN-2013-40050,2023-06-07,2023-06-09,First Class,High,AS-10225
MX-2011-110275,2021-11-22,2021-11-23,First Class,Medium,ST-20530
CG-2013-6110,2023-03-29,2023-03-31,Second Class,High,BW-1065
IN-2014-30110,2024-08-26,2024-08-27,First Class,High,LA-16780
ES-2012-2058076,2022-09-20,2022-09-22,Second Class,High,AB-10150
IN-2014-51950,2024-05-16,2024-05-18,Second Class,Critical,JH-15820
CA-2012-145352,2022-03-16,2022-03-22,Standard Class,Medium,CM-12385
ES-2013-4670866,2023-11-24,2023-11-25,First Class,Critical,BE-11410
IN-2011-62506,2021-11-09,2021-11-11,Second Class,Medium,SZ-20035
IN-2011-46413,2021-10-28,2021-10-28,Same Day,Critical,RM-19375
ES-2014-3785216,2024-11-19,2024-11-23,Standard Class,High,HG-14845
MO-2014-2000,2024-10-28,2024-10-30,Second Class,Medium,DP-3105
CA-2014-138289,2024-01-17,2024-01-19,Second Class,High,AR-10540
CA-2014-118892,2024-08-18,2024-08-23,Second Class,Medium,TP-21415
ES-2013-1434123,2023-01-29,2023-02-05,Standard Class,Low,JB-16000
ID-2012-78207,2022-09-18,2022-09-21,Second Class,Critical,AM-10705
MO-2013-8630,2023-11-23,2023-11-23,Same Day,Medium,AB-255
IN-2012-64774,2022-06-13,2022-06-13,Same Day,High,RP-19270
IN-2013-48765,2023-10-28,2023-10-31,First Class,Medium,BK-11260
IN-2013-69730,2023-12-12,2023-12-14,First Class,High,JM-15250
US-2013-102239,2023-05-06,2023-05-07,First Class,Critical,LW-16990
ES-2013-3467296,2023-12-02,2023-12-02,Same Day,Critical,NZ-18565
CA-2014-6550,2024-12-23,2024-12-25,Second Class,Critical,SV-10815
ID-2013-25742,2023-01-28,2023-01-30,First Class,High,SC-20695
IN-2012-86698,2022-05-07,2022-05-07,Same Day,High,NC-18625
ES-2013-2903666,2023-11-27,2023-11-29,First Class,High,NF-18385
IN-2012-30446,2022-11-28,2022-12-02,Second Class,Medium,NZ-18565
IT-2012-1779015,2022-09-29,2022-09-29,Same Day,Critical,PM-18940
ES-2013-3903130,2023-09-03,2023-09-05,Second Class,High,MZ-17335
CG-2013-3470,2023-07-26,2023-08-01,Standard Class,Low,HM-4980
IN-2014-13639,2024-11-19,2024-11-25,Standard Class,Low,RW-19540
ES-2012-2510515,2022-06-19,2022-06-19,Same Day,High,LH-17155
MX-2012-153157,2022-10-11,2022-10-14,First Class,Medium,FH-14365
ES-2011-2585328,2021-08-09,2021-08-11,First Class,Critical,KM-16660
ES-2011-4500805,2021-11-05,2021-11-09,Second Class,High,PO-18865
CA-2014-107174,2024-11-07,2024-11-14,Standard Class,Low,AB-10060
MX-2013-113824,2023-04-26,2023-04-28,First Class,High,AB-10060
IN-2013-45076,2023-12-26,2023-12-26,Same Day,High,DB-13060
IT-2013-5208514,2023-03-13,2023-03-13,Same Day,High,VM-21685
US-2013-107440,2023-04-17,2023-04-21,Standard Class,Medium,BS-11365
ES-2012-2314672,2022-04-05,2022-04-05,Same Day,High,DM-13525
ES-2012-4765389,2022-12-26,2022-12-28,Second Class,Critical,NM-18520
IN-2013-15368,2023-04-18,2023-04-19,First Class,Critical,LC-16885
IN-2011-18385,2021-05-24,2021-05-26,Second Class,High,RO-19780
CA-2012-149846,2022-05-22,2022-05-26,Standard Class,High,SB-20185
ES-2013-2757712,2023-05-16,2023-05-20,Second Class,High,EM-14065
CA-2011-106726,2021-12-06,2021-12-08,First Class,Critical,RS-19765
IT-2011-1978668,2021-02-16,2021-02-19,Second Class,Medium,ON-18715
IN-2013-63773,2023-05-31,2023-06-02,First Class,Critical,VS-21820
IN-2013-10965,2023-10-01,2023-10-02,First Class,High,CM-12115
CA-2011-145541,2021-12-14,2021-12-21,Standard Class,Medium,TB-21400
CA-2013-117121,2023-12-18,2023-12-22,Standard Class,Medium,AB-10105
ID-2013-79432,2023-12-11,2023-12-14,Second Class,Critical,JK-15325
IT-2014-4499061,2024-03-18,2024-03-21,Second Class,Critical,RP-19270
IN-2014-34226,2024-12-19,2024-12-20,First Class,Critical,DW-13540
CA-2011-136567,2021-12-20,2021-12-21,First Class,High,PS-19045
CA-2013-143714,2023-05-24,2023-05-28,Standard Class,Medium,CC-12370
CA-2011-151330,2021-10-14,2021-10-17,First Class,Critical,TC-21295
MX-2014-158386,2024-09-18,2024-09-18,Same Day,Critical,GM-14440
IN-2013-30663,2023-11-25,2023-11-27,First Class,Critical,SV-20815
IN-2013-77444,2023-11-07,2023-11-10,First Class,Critical,MM-17920
IN-2014-39077,2024-07-19,2024-07-23,Standard Class,High,JK-16120
ID-2012-60980,2022-08-16,2022-08-16,Same Day,High,EM-14200
CA-2013-128594,2023-08-27,2023-08-30,First Class,Critical,DJ-13510
IN-2012-57025,2022-01-11,2022-01-15,Standard Class,High,PM-18940
MX-2013-157868,2023-01-28,2023-01-30,First Class,Medium,AT-10435
ID-2012-66111,2022-06-14,2022-06-17,First Class,Critical,AB-10015
CA-2011-120474,2021-12-01,2021-12-03,First Class,High,RP-19390
CA-2013-100300,2023-06-25,2023-06-27,Second Class,High,MJ-17740
MX-2012-164791,2022-12-06,2022-12-08,First Class,High,PV-18985
IT-2013-1350483,2023-09-05,2023-09-07,Second Class,High,SB-20290
SO-2014-4990,2024-09-18,2024-09-20,First Class,High,SM-10005
CA-2014-149559,2024-09-12,2024-09-13,Same Day,Critical,KF-16285
IN-2012-30943,2022-08-03,2022-08-08,Standard Class,High,KH-16330
IN-2014-13324,2024-12-09,2024-12-11,First Class,High,MP-18175
IN-2012-46889,2022-10-25,2022-10-28,First Class,Critical,LH-17020
CA-2012-114069,2022-07-13,2022-07-15,Second Class,Critical,ND-18370
ID-2013-35640,2023-08-27,2023-08-29,Second Class,High,CR-12625
IN-2011-30292,2021-05-13,2021-05-17,Standard Class,High,NC-18625
IT-2011-3675195,2021-11-03,2021-11-06,First Class,High,GM-14680
ES-2014-2034971,2024-08-02,2024-08-03,First Class,Critical,RA-19945
ES-2011-1426891,2021-09-20,2021-09-22,Second Class,Critical,DB-13060
CA-2014-159366,2024-01-08,2024-01-11,First Class,Medium,BW-11110
IN-2013-14773,2023-03-11,2023-03-15,Standard Class,High,RF-19735
ES-2012-4934238,2022-02-02,2022-02-05,First Class,High,JH-15820
CA-2013-108987,2023-09-09,2023-09-11,Second Class,Critical,AG-10675
MX-2014-111941,2024-04-09,2024-04-13,Standard Class,High,DM-12955
US-2013-143819,2023-03-02,2023-03-06,Standard Class,Medium,KD-16270
MX-2014-152961,2024-03-19,2024-03-21,First Class,High,BE-11335
IN-2013-17041,2023-10-02,2023-10-04,First Class,High,SO-20335
ES-2013-4679331,2023-01-12,2023-01-15,First Class,Medium,DK-12835
SA-2014-1270,2024-08-20,2024-08-25,Standard Class,Medium,LC-7050
IN-2014-12897,2024-03-14,2024-03-18,Standard Class,High,CG-12520
CA-2013-134887,2023-03-26,2023-03-26,Same Day,Critical,TB-21280
ID-2014-10076,2024-07-09,2024-07-13,Standard Class,High,HG-15025
ID-2013-70122,2023-06-11,2023-06-15,Standard Class,High,AD-10180
ES-2011-2257437,2021-08-10,2021-08-17,Standard Class,Medium,BP-11155
ID-2014-63920,2024-03-17,2024-03-21,Standard Class,High,AA-10480
ID-2013-29564,2023-01-02,2023-01-03,First Class,Medium,RL-19615
CA-2013-108196,2023-11-26,2023-12-03,Standard Class,Low,CS-12505
ID-2012-36403,2022-10-10,2022-10-11,First Class,High,SW-20245
CA-2014-127180,2024-10-23,2024-10-25,First Class,High,TA-21385
IN-2011-19351,2021-06-17,2021-06-19,First Class,High,BW-11110
ES-2014-5842530,2024-04-03,2024-04-05,First Class,High,YC-21895
MX-2011-137897,2021-05-17,2021-05-20,Second Class,High,JM-15580
BO-2014-8960,2024-02-11,2024-02-15,Second Class,High,MZ-7335
ES-2013-2220066,2023-10-12,2023-10-12,Same Day,Critical,JF-15295
CA-2011-127299,2021-09-19,2021-09-24,Standard Class,High,JL-15835
UP-2014-4500,2024-07-17,2024-07-19,Second Class,Critical,DJ-3510
ES-2014-2440513,2024-11-22,2024-11-28,Standard Class,Low,MF-18250
IT-2011-5629016,2021-05-30,2021-06-02,First Class,Critical,TC-21295
CA-2014-133263,2024-04-01,2024-04-03,Second Class,High,JE-15610
IN-2014-65488,2024-07-17,2024-07-20,First Class,Medium,CP-12340
ES-2014-5530354,2024-08-29,2024-09-03,Standard Class,Medium,EH-14125
IN-2012-23782,2022-12-26,2022-12-26,Same Day,Critical,NC-18340
ID-2013-31720,2023-05-01,2023-05-04,Second Class,Critical,JS-16030
ES-2011-1712442,2021-08-16,2021-08-21,Standard Class,Medium,AM-10360
IN-2014-78900,2024-12-03,2024-12-07,Standard Class,High,JF-15190
IN-2013-37803,2023-06-25,2023-06-29,Standard Class,High,AB-10015
ES-2013-3939561,2023-01-21,2023-01-24,Second Class,Medium,JG-15160
CA-2013-138478,2023-10-22,2023-10-27,Second Class,Medium,DP-13390
IN-2014-56808,2024-07-12,2024-07-14,Second Class,Critical,AG-10330
US-2013-116729,2023-12-26,2023-12-29,First Class,Medium,GK-14620
ES-2014-1972860,2024-09-01,2024-09-01,Same Day,Critical,NF-18475
CA-2011-119375,2021-11-17,2021-11-22,Standard Class,High,YC-21895
IN-2011-64326,2021-06-07,2021-06-11,Second Class,Medium,DR-12940
ES-2011-3259196,2021-10-13,2021-10-13,Same Day,Critical,NB-18655
IN-2013-48184,2023-06-10,2023-06-10,Same Day,Critical,NM-18445
IN-2014-77017,2024-12-13,2024-12-17,Standard Class,Medium,TA-21385
CA-2014-150091,2024-10-13,2024-10-17,Standard Class,High,NP-18670
ID-2014-31363,2024-06-10,2024-06-11,First Class,High,SC-20380
SF-2011-6380,2021-02-15,2021-02-16,First Class,Critical,PA-9060
ES-2013-1692384,2023-11-28,2023-12-04,Standard Class,Low,RB-19570
CA-2014-165323,2024-06-18,2024-06-22,Standard Class,High,SR-20740
CA-2013-168354,2023-09-20,2023-09-22,First Class,High,RH-19510
US-2011-158554,2021-08-09,2021-08-09,Same Day,High,LH-16750
CA-2011-141796,2021-06-21,2021-06-21,Same Day,Critical,JG-15160
IN-2012-12162,2022-08-02,2022-08-04,First Class,High,KB-16585
CA-2012-113404,2022-07-16,2022-07-16,Same Day,Critical,EM-13810
IR-2013-8520,2023-08-02,2023-08-02,Same Day,Critical,MZ-7515
IN-2014-68463,2024-05-22,2024-05-25,Second Class,Critical,DM-13345
ID-2011-64599,2021-02-10,2021-02-15,Standard Class,Medium,CA-11965
ES-2013-4632541,2023-09-27,2023-09-27,Same Day,Critical,SC-20305
IN-2014-23761,2024-06-02,2024-06-04,First Class,Critical,MH-18115
IN-2013-16964,2023-09-30,2023-10-03,First Class,Critical,KS-16300
IN-2011-76989,2021-07-19,2021-07-20,First Class,High,BG-11740
RS-2014-4620,2024-08-14,2024-08-16,Second Class,Medium,CR-2625
CA-2013-147417,2023-07-26,2023-07-28,First Class,Critical,CB-12415
IN-2014-61393,2024-10-31,2024-11-03,First Class,High,DK-13090
IN-2013-13891,2023-07-25,2023-07-30,Standard Class,Medium,JL-15835
IN-2014-32770,2024-10-07,2024-10-11,Standard Class,High,AP-10720
IN-2014-14780,2024-10-17,2024-10-21,Standard Class,High,CR-12820
IN-2013-71585,2023-12-03,2023-12-06,Second Class,Critical,BF-11080
IN-2014-20485,2024-11-08,2024-11-10,First Class,High,JM-15265
IT-2011-4771701,2021-09-21,2021-09-23,Second Class,Critical,TW-21025
IT-2011-2876489,2021-06-21,2021-06-24,First Class,High,RB-19330
CA-2014-133865,2024-05-09,2024-05-13,Standard Class,High,PS-19045
CA-2014-158379,2024-09-23,2024-09-27,Second Class,Medium,JA-15970
SF-2014-2330,2024-11-26,2024-11-29,Second Class,Critical,AB-60
EG-2012-4640,2022-03-30,2022-04-01,First Class,Critical,JR-5670
MX-2011-138002,2021-11-10,2021-11-15,Second Class,Medium,MD-17350
US-2014-102183,2024-08-22,2024-08-29,Standard Class,Medium,PK-19075
ES-2012-5113958,2022-08-01,2022-08-06,Second Class,Medium,EB-13840
CA-2014-120376,2024-12-23,2024-12-26,First Class,High,TP-21130
CA-2014-168109,2024-07-04,2024-07-04,Same Day,High,JK-15640
CA-2014-111556,2024-11-21,2024-11-23,First Class,Critical,CD-11920
AJ-2013-2640,2023-01-23,2023-01-27,Standard Class,High,JL-5835
IN-2011-67651,2021-05-21,2021-05-25,Second Class,High,EP-13915
ES-2014-4957212,2024-09-28,2024-10-01,First Class,High,MS-17770
IT-2011-3528798,2021-11-06,2021-11-08,First Class,Critical,CM-12655
LH-2014-5390,2024-01-28,2024-01-30,Second Class,High,JC-6105
IN-2014-32588,2024-09-13,2024-09-19,Standard Class,Medium,GB-14530
CA-2012-137113,2022-12-01,2022-12-05,Second Class,High,TW-21025
US-2011-161760,2021-12-22,2021-12-24,First Class,High,JH-16180
EG-2013-4530,2023-02-05,2023-02-07,Second Class,Critical,MT-8070
IN-2011-51964,2021-12-28,2021-12-29,First Class,Critical,AB-10105
CA-2013-122903,2023-05-28,2023-05-30,Second Class,High,LA-16780
LT-2011-270,2021-04-27,2021-04-30,First Class,High,CV-2805
IN-2011-86278,2021-10-06,2021-10-11,Standard Class,High,NH-18610
ID-2013-17055,2023-08-24,2023-08-26,Second Class,Critical,HJ-14875
MX-2013-151764,2023-09-21,2023-09-24,Second Class,Critical,JL-15175
MX-2014-124744,2024-12-17,2024-12-19,First Class,Critical,MY-18295
US-2011-106992,2021-09-19,2021-09-21,Second Class,Medium,SB-20290
CA-2011-117639,2021-05-21,2021-05-25,Standard Class,High,MW-18235
MX-2014-140305,2024-06-03,2024-06-07,Standard Class,High,KC-16540
MX-2014-113845,2024-09-12,2024-09-14,First Class,Critical,CS-12460
IN-2014-61932,2024-04-17,2024-04-17,Same Day,Critical,HA-14920
ES-2012-4589770,2022-11-21,2022-11-24,Second Class,Critical,MT-17815
ES-2014-1331794,2024-03-06,2024-03-08,First Class,Critical,FW-14395
ES-2012-4621754,2022-07-23,2022-07-28,Standard Class,High,BH-11710
ID-2014-41191,2024-11-07,2024-11-09,First Class,High,DK-12895
MX-2014-128405,2024-11-22,2024-11-24,First Class,Critical,KD-16270
ES-2011-1858721,2021-06-11,2021-06-14,First Class,High,SC-20845
MX-2012-168865,2022-09-14,2022-09-19,Standard Class,High,CY-12745
IN-2011-52279,2021-11-25,2021-11-25,Same Day,Critical,HL-15040
IN-2012-14724,2022-08-10,2022-08-12,First Class,High,CT-11995
ES-2013-3042991,2023-03-20,2023-03-23,Second Class,High,CC-12370
LT-2013-3900,2023-12-30,2024-01-04,Standard Class,Medium,GR-4560
IN-2012-18518,2022-10-04,2022-10-09,Standard Class,High,TT-21070
IT-2012-4058325,2022-08-06,2022-08-07,First Class,Critical,PO-19195
IN-2012-42220,2022-10-02,2022-10-02,Same Day,High,ED-13885
IN-2014-17972,2024-03-26,2024-03-29,First Class,Critical,AP-10915
MX-2014-151554,2024-11-21,2024-11-21,Same Day,High,TM-21490
IT-2011-3270900,2021-11-30,2021-12-01,First Class,Critical,AW-10840
CA-2012-123113,2022-11-23,2022-11-27,Second Class,Medium,AT-10735
RO-2012-9480,2022-12-06,2022-12-06,Same Day,High,SG-10605
MX-2013-109981,2023-12-03,2023-12-04,First Class,High,BM-11785
MX-2012-130351,2022-12-20,2022-12-24,Standard Class,High,FH-14365
MX-2012-135076,2022-09-13,2022-09-15,Second Class,Medium,DK-13375
CA-2013-114972,2023-11-04,2023-11-07,First Class,Critical,PF-19225
CA-2013-146633,2023-11-16,2023-11-18,Second Class,Critical,TG-21310
CA-2013-110499,2023-04-08,2023-04-10,First Class,High,YC-21895
TU-2012-2690,2022-05-23,2022-05-26,First Class,High,SF-10200
CA-2014-166709,2024-11-18,2024-11-23,Standard Class,Medium,HL-15040
SG-2014-9460,2024-04-14,2024-04-17,Second Class,Medium,JW-5220
MX-2014-164217,2024-08-29,2024-09-02,Standard Class,High,CC-12100
ID-2014-80657,2024-05-16,2024-05-18,Second Class,High,RD-19930
CM-2012-6440,2022-12-13,2022-12-15,First Class,Critical,BP-1230
ES-2011-5287434,2021-03-31,2021-04-04,Standard Class,High,SA-20830
IN-2012-79439,2022-02-04,2022-02-08,Second Class,Medium,EM-13810
IN-2013-58929,2023-05-29,2023-06-01,Second Class,Medium,CS-12175
IT-2012-2646674,2022-08-29,2022-09-01,First Class,Critical,JD-16060
IN-2011-63577,2021-06-15,2021-06-17,First Class,Critical,GH-14665
IN-2014-16068,2024-08-28,2024-08-31,First Class,Medium,CM-11935
MX-2011-150973,2021-10-27,2021-10-28,First Class,Critical,JB-16000
RS-2014-4120,2024-03-19,2024-03-23,Second Class,Medium,RB-9465
MX-2014-154935,2024-09-11,2024-09-18,Standard Class,Low,RB-19795
ID-2012-83604,2022-08-28,2022-08-28,Same Day,Critical,PO-19195
US-2014-117723,2024-08-16,2024-08-19,Second Class,High,DL-13495
IN-2013-81112,2023-08-01,2023-08-04,Second Class,Critical,TS-21205
CA-2013-147368,2023-06-10,2023-06-13,First Class,Critical,TC-21295
SF-2014-3560,2024-12-24,2024-12-27,First Class,Medium,MV-8190
CA-2012-147830,2022-12-15,2022-12-18,First Class,High,NF-18385
ES-2012-1439357,2022-02-23,2022-02-26,First Class,High,BD-11560
IN-2014-16054,2024-10-11,2024-10-13,Second Class,Critical,PS-18760
US-2014-148817,2024-04-21,2024-04-23,Second Class,Critical,FM-14215
IN-2013-50809,2023-06-12,2023-06-17,Standard Class,Medium,CA-12775
ES-2013-1211534,2023-09-17,2023-09-20,First Class,High,CD-12790
IN-2014-81154,2024-09-19,2024-09-19,Same Day,Critical,NL-18310
IT-2014-2009199,2024-11-26,2024-12-03,Standard Class,Medium,TB-21055
IN-2014-51432,2024-06-20,2024-06-26,Standard Class,Low,KD-16495
HU-2014-7310,2024-10-23,2024-10-25,First Class,High,EH-4125
IN-2011-26176,2021-08-16,2021-08-20,Standard Class,Medium,KB-16600
CA-2012-102491,2022-08-24,2022-08-28,Standard Class,High,KW-16435
ES-2014-5345830,2024-01-14,2024-01-16,First Class,High,MG-17695
ID-2014-58271,2024-11-13,2024-11-15,Second Class,Critical,VF-21715
ID-2013-57949,2023-06-13,2023-06-13,Same Day,High,AM-10705
US-2012-128587,2022-12-24,2022-12-30,Standard Class,Medium,HM-14860
IN-2014-68750,2024-09-22,2024-09-25,Second Class,Critical,BP-11290
AO-2011-1670,2021-01-08,2021-01-13,Standard Class,High,HZ-4950
CA-2013-118689,2023-10-03,2023-10-10,Standard Class,Medium,TC-20980
IN-2013-42535,2023-07-30,2023-07-30,Same Day,Critical,EM-13825
IN-2014-27947,2024-04-30,2024-05-04,Standard Class,Medium,BS-11800
MX-2011-158204,2021-09-28,2021-09-30,Second Class,High,DV-13465
IN-2014-56206,2024-06-24,2024-06-28,Standard Class,Medium,MB-17305
IT-2011-3316894,2021-04-06,2021-04-08,First Class,High,PC-19000
IT-2014-2819680,2024-08-07,2024-08-09,Second Class,Critical,CA-12310
US-2013-138408,2023-11-19,2023-11-22,Second Class,Critical,KC-16255
ES-2014-2179863,2024-02-14,2024-02-16,First Class,Critical,MB-18085
US-2014-110576,2024-11-29,2024-12-03,Standard Class,High,RB-19795
RO-2012-8470,2022-08-17,2022-08-19,Second Class,Critical,DB-3660
CA-2012-111514,2022-08-31,2022-09-02,First Class,High,SC-20260
MX-2012-157987,2022-08-07,2022-08-08,First Class,High,BG-11740
US-2014-105935,2024-01-27,2024-02-01,Standard Class,High,BD-11500
CA-2011-139892,2021-09-08,2021-09-12,Standard Class,Medium,BM-11140
IN-2012-45825,2022-08-09,2022-08-11,First Class,Critical,KB-16315
ID-2013-58642,2023-02-21,2023-02-22,First Class,High,PK-19075
ID-2012-65411,2022-07-18,2022-07-19,First Class,High,CS-12175
CA-2011-144624,2021-11-19,2021-11-23,Standard Class,High,JM-15865
ES-2014-4032097,2024-04-09,2024-04-12,First Class,Critical,AF-10885
ES-2012-4108483,2022-06-18,2022-06-20,Second Class,Medium,SJ-20500
ES-2013-5810502,2023-12-31,2024-01-02,First Class,High,DM-12955
CA-2014-138149,2024-06-30,2024-07-01,First Class,High,WB-21850
IT-2012-3796476,2022-01-16,2022-01-18,First Class,High,CC-12610
CG-2012-8310,2022-06-12,2022-06-14,First Class,Medium,BW-1065
IN-2014-39735,2024-03-17,2024-03-22,Second Class,Medium,BE-11455
ES-2012-4272278,2022-11-13,2022-11-17,Standard Class,High,TG-21640
CA-2013-107104,2023-11-27,2023-12-01,Standard Class,Medium,MS-17365
CA-2012-156104,2022-12-06,2022-12-08,Second Class,Critical,NP-18685
ES-2014-4856325,2024-05-16,2024-05-19,First Class,High,VM-21685
CA-2014-145219,2024-12-25,2024-12-26,First Class,Critical,RM-19675
MX-2014-120026,2024-12-22,2024-12-24,First Class,High,SC-20695
ID-2013-12295,2023-09-14,2023-09-14,Same Day,Medium,SN-20560
ID-2013-10636,2023-01-07,2023-01-13,Standard Class,Medium,CD-12280
ES-2014-5554891,2024-06-27,2024-06-27,Same Day,Critical,CC-12100
ES-2012-5464624,2022-07-13,2022-07-16,Second Class,Critical,BG-11035
IN-2014-59426,2024-02-11,2024-02-11,Same Day,Critical,CC-12550
IN-2014-59202,2024-05-29,2024-06-05,Standard Class,Low,AB-10105
IN-2014-44257,2024-04-16,2024-04-18,Second Class,High,SV-20785
ES-2014-3860822,2024-11-27,2024-11-29,First Class,Critical,HW-14935
IN-2011-23530,2021-11-09,2021-11-11,First Class,Critical,AS-10285
ES-2014-5991471,2024-09-18,2024-09-18,Same Day,High,LD-16855
MX-2014-127656,2024-02-24,2024-02-27,First Class,High,NS-18505
MX-2013-154886,2023-09-03,2023-09-05,First Class,Critical,CM-12715
IN-2013-36963,2023-12-23,2023-12-25,First Class,Critical,VG-21805
GH-2014-6410,2024-06-17,2024-06-19,First Class,Critical,JD-6060
ID-2014-41597,2024-03-15,2024-03-17,Second Class,High,MG-17680
IN-2014-47449,2024-07-12,2024-07-13,First Class,Medium,CD-12280
ES-2014-4622860,2024-06-09,2024-06-12,First Class,Critical,DB-13210
ES-2014-2538638,2024-10-15,2024-10-17,Second Class,Critical,CS-11860
IN-2014-32084,2024-08-06,2024-08-09,Second Class,High,AF-10885
ES-2012-3954494,2022-12-07,2022-12-07,Same Day,High,GG-14650
ID-2012-79551,2022-12-25,2022-12-28,Second Class,Medium,BN-11470
IR-2013-1770,2023-06-17,2023-06-18,First Class,Medium,BS-1665
IN-2014-13597,2024-11-03,2024-11-07,Standard Class,Medium,AC-10450
